"headline";"subheadline";"author";"content";"newspaper";"date";"combined_text";"agreed_topic";"agreed_topic_prob";"agreed_topic_label"
"Luis Suárez Anota Verdadero Golazoo Tras Dar 500 Canastos Navideños Niños de Uruguay Buen Gesto. Pistolero Suárez Hizo Golazo de Media Cancha Buena Acción. ¡‘Yin’ Luis Suárez Anotó un Verdadero ‘Golazo’ Tras Donar Ayer 500 Canastos Navideños a los Niños de la Fundación y del Hospital Pereira Rossell. El Jugador Charro, Quién es Embajador de la Fundación Perez Scrimin (Que Atienden Menores con Cáncer), Dio unas 500 Canastos Navideñas que Ya se Encuentran en Uruguay y que Serán Entregadas a los Pequeños. ‘¡Luisito Suárez dio a Todos los Niños de la Fundación y del Hospital!’ Un Grande’, Sostenía el Doctor Ney Castillo.,";"";"";"";"correo";"2014/12/25";"Luis Suárez Anota Verdadero Golazoo Tras Dar 500 Canastos Navideños Niños de Uruguay Buen Gesto. Pistolero Suárez Hizo Golazo de Media Cancha Buena Acción. ¡‘Yin’ Luis Suárez Anotó un Verdadero ‘Golazo’ Tras Donar Ayer 500 Canastos Navideños a los Niños de la Fundación y del Hospital Pereira Rossell. El Jugador Charro, Quién es Embajador de la Fundación Perez Scrimin (Que Atienden Menores con Cáncer), Dio unas 500 Canastos Navideñas que Ya se Encuentran en Uruguay y que Serán Entregadas a los Pequeños. ‘¡Luisito Suárez dio a Todos los Niños de la Fundación y del Hospital!’ Un Grande’, Sostenía el Doctor Ney Castillo.,. .";"1";"0.6976";"equipo, es, lima, real, mejor"
"DESTAPE. EXPROCUREADA DICHO SOBRE CASO BELAUDE LOSSIO";"Miércoles 10 de Diciembre de 2014";"";"Según reportes, la exprocuradora Yeni Vilcatoma señala que figuras políticas importantes podrían tener vínculos con el caso Belaunde Lossio. Además, menciona interceptaciones telefónicas relevantes realizadas bajo circunstancias sospechosas.";"correo";"2014/12/10";"DESTAPE. EXPROCUREADA DICHO SOBRE CASO BELAUDE LOSSIO. Miércoles 10 de Diciembre de 2014. Según reportes, la exprocuradora Yeni Vilcatoma señala que figuras políticas importantes podrían tener vínculos con el caso Belaunde Lossio. Además, menciona interceptaciones telefónicas relevantes realizadas bajo circunstancias sospechosas.";"0";"1.0";"reunión, productos, investigación, lossio, economía"
"Nicolás Pisculichi Caen en megaoperativo policías de burga";"Exige exigió al PJ impedir salida país dirigente por irregularidades";"";"Nicolás pisculichi caen en megaa operativo policías\nde burgo.\nexige exigió al pj impedir salida país dirigente por irregularidades\nedwin oviedoi federico céspedes buscan sucederlo\nTeema del dia\nmartes 16 de diciembre de 2014\nlima diario correo Alerta.";"correo";"2014/12/16";"Nicolás Pisculichi Caen en megaoperativo policías de burga. Exige exigió al PJ impedir salida país dirigente por irregularidades. Nicolás pisculichi caen en megaa operativo policías\nde burgo.\nexige exigió al pj impedir salida país dirigente por irregularidades\nedwin oviedoi federico céspedes buscan sucederlo\nTeema del dia\nmartes 16 de diciembre de 2014\nlima diario correo Alerta.";"-1";"0.2827";"Unknown"
"Liga A+: Ramas LR";" ";"";"RAMAS LR porque son los mejores acompañantes en el trabajo, disminuyen el largo camino en el número… ";"correo";"2014/12/16";"Liga A+: Ramas LR.  . RAMAS LR porque son los mejores acompañantes en el trabajo, disminuyen el largo camino en el número…";"-1";"0.2808";"Unknown"
"Diversos medios señalan que la organización estaba implicada en producción y transporte de drogas utilizando infraestructuras ocultas.";"";"";"";"correo";"2014/12/16";"Diversos medios señalan que la organización estaba implicada en producción y transporte de drogas utilizando infraestructuras ocultas.. .";"-1";"0.1456";"Unknown"
"SBS Propone Tiempo Más Corto para Levantar Secreto Bancario";"De aprobarse agilizará solicitudes de las autoridades que están facultadas.";" ""FOTOA.: ANDINA""";" ""De esta manera, la iniciativa de la SBS establece que el plazo de atención a las solicitudes no supere los treinta días hábiles, salvo excepciones. Entre ellas el ente supervisor específicamente señaló que éstas consistirán en casos como el de un mandato legal o judicial por parte de las empresas del sistema financiero.""";"correo";"2014/12/25";"SBS Propone Tiempo Más Corto para Levantar Secreto Bancario. De aprobarse agilizará solicitudes de las autoridades que están facultadas..  ""De esta manera, la iniciativa de la SBS establece que el plazo de atención a las solicitudes no supere los treinta días hábiles, salvo excepciones. Entre ellas el ente supervisor específicamente señaló que éstas consistirán en casos como el de un mandato legal o judicial por parte de las empresas del sistema financiero.""";"-1";"0.2111";"Unknown"
"Derechos humanos amenazados por prácticas gubernamentales arbitrarias.;; """;"Activistas señalan múltiples infracciones a derechos fundamentales atribuidas a ejecutorias gubernamentales, destacándose restricciones indebidas a libertades civiles básicas y discriminación sistemática en sectores específicos de la población.";"";"";"correo";"2014/12/03";"Derechos humanos amenazados por prácticas gubernamentales arbitrarias.;; "". Activistas señalan múltiples infracciones a derechos fundamentales atribuidas a ejecutorias gubernamentales, destacándose restricciones indebidas a libertades civiles básicas y discriminación sistemática en sectores específicos de la población..";"-1";"0.1693";"Unknown"
"Premian a los Mejores Jinetes y Amazonas";"Lo justo.";"David Levy";"Se premió a los jinetes y amazonas que ocuparon los tres primeros lugares del ranking nacional 2014, en las disciplinas de salto, adiestramiento y prueba completa.";"correo";"2014/12/21";"Premian a los Mejores Jinetes y Amazonas. Lo justo.. Se premió a los jinetes y amazonas que ocuparon los tres primeros lugares del ranking nacional 2014, en las disciplinas de salto, adiestramiento y prueba completa.";"-1";"0.3522";"Unknown"
"Investigan acciones del fiscal Huamán y el ministro Figallo";"Ex-Procurador alerta sobre potencial conflicto de intereses";"";"Carlos Ramos Heredia compareció ante la comisión incógnitas del Congreso, aunque requiriéndose múltiples avisos para asegurar su participación. Además, según documentos enviados por Salas al fiscal superior Gustavo Quiroz, hubo una conversación telefónica relevante entre Huamán y la procuradora adjunta Yeni Vilcatoma, discutiendo aspectos delicados del caso 'La Centralita'. Esto sugiere una actuación poco usual de un fiscal público, especialmente en relación con contactos con figuras ejecutivas.";"correo";"2014/12/03";"Investigan acciones del fiscal Huamán y el ministro Figallo. Ex-Procurador alerta sobre potencial conflicto de intereses. Carlos Ramos Heredia compareció ante la comisión incógnitas del Congreso, aunque requiriéndose múltiples avisos para asegurar su participación. Además, según documentos enviados por Salas al fiscal superior Gustavo Quiroz, hubo una conversación telefónica relevante entre Huamán y la procuradora adjunta Yeni Vilcatoma, discutiendo aspectos delicados del caso 'La Centralita'. Esto sugiere una actuación poco usual de un fiscal público, especialmente en relación con contactos con figuras ejecutivas.";"0";"1.0";"reunión, productos, investigación, lossio, economía"
"A través de múltiples operativos, la cártel conocida como ‘Los Sapos de Huánuco’ fue desmantelada, resultando en la captura de 18 miembros, incluido un exfiscal y cuatro policías en función.";"";"";"";"correo";"2014/12/16";"A través de múltiples operativos, la cártel conocida como ‘Los Sapos de Huánuco’ fue desmantelada, resultando en la captura de 18 miembros, incluido un exfiscal y cuatro policías en función.. .";"0";"0.5197";"reunión, productos, investigación, lossio, economía"
"";"";"";"";"correo";"2014/12/03";". .";"-1";"0.0917";"Unknown"
"FIFA's Image Very Bad According To Platini";"Michel Platini Comments";"Correo";"Para Platini la imagen de la FIFA es muy mala con todo. Michel Platini, presidente de la UEFA, consideró que Joseph Blatter no debe continuar al frente de la FIFA, pues la imagen del ente rector actualmente es muy mala. Sin embargo, no cree que el suizo quisiera abandonar su cargo. «Lo apoyé en 1998 porque creí que era el hombre adecuado en ese entonces, pero tras cinco mandatos es hora de dejar el puesto a otra persona. La imagen de la FIFA es muy, muy mala, por ello pienso que sea el momento de que dé marcha atrás», concluyó Platini.";"correo";"2014/12/10";"FIFA's Image Very Bad According To Platini. Michel Platini Comments. Para Platini la imagen de la FIFA es muy mala con todo. Michel Platini, presidente de la UEFA, consideró que Joseph Blatter no debe continuar al frente de la FIFA, pues la imagen del ente rector actualmente es muy mala. Sin embargo, no cree que el suizo quisiera abandonar su cargo. «Lo apoyé en 1998 porque creí que era el hombre adecuado en ese entonces, pero tras cinco mandatos es hora de dejar el puesto a otra persona. La imagen de la FIFA es muy, muy mala, por ello pienso que sea el momento de que dé marcha atrás», concluyó Platini.";"-1";"0.3221";"Unknown"
"Suspensiones del servicio de agua en ciertos distritos de Lima.;;
LIMA Diario PE: Condena a banda narco peruana incluida personal policial y judicial.""";"";"Mari Lizette Áñez MinunezGrupo Epensa.pe";"";"correo";"2014/12/16";"Suspensiones del servicio de agua en ciertos distritos de Lima.;;
LIMA Diario PE: Condena a banda narco peruana incluida personal policial y judicial."". .";"-1";"0.2552";"Unknown"
"Ley General del Sistema Financiero y del Sistema de Seguros y Organización de la SBS,";"";"Las autoridades facultadas a solicitar el levantamiento del secreto bancario son el Poder Judicial; el presidente de una comisión investigadora del Poder Legislativo, con acuerdo de la comisión de que se trate y en relación con hechos que comprometan el interés público... También destacó que pueden hacerlo el fiscal de la Nación o el Gobierno de un país con el que se cuente con un convenio para combatir, reprimir y sancionar actividades como el tráfico ilegal de drogas, el terrorismo o el lavado de activos.";"";"correo";"2014/12/25";"Ley General del Sistema Financiero y del Sistema de Seguros y Organización de la SBS,. .";"-1";"0.277";"Unknown"
"Sobrecarga fiscal amenaza economías domésticas";"Sobreprecios impactan costos alimenticios";"Clorinda Flores F.";"“Según el Instituto Peruano de Economía, las sobretasas están elevándose considerablemente, influyendo así en el valor de básicos como el maíz.”";"correo";"2014/12/15";"Sobrecarga fiscal amenaza economías domésticas. Sobreprecios impactan costos alimenticios. “Según el Instituto Peruano de Economía, las sobretasas están elevándose considerablemente, influyendo así en el valor de básicos como el maíz.”";"-1";"0.2198";"Unknown"
"Aurich Frente a Cristal Buscará Ser Campeón";"En vivo ahora sí tendremos campeón nacional.";"'Juan Aurich' de Chiclayo y 'Sporting Cristal' de Lima enfrentarán hoy a muerte la tercera y última final del torneo nacional. La cita será a las 15:30 horas en el estadio Mansiche de Trujillo.";"";"correo";"2014/12/21";"Aurich Frente a Cristal Buscará Ser Campeón. En vivo ahora sí tendremos campeón nacional..";"1";"0.609";"equipo, es, lima, real, mejor"
"Manuel Burga renunció anticipadamente a su puesto en FIFA después de controversias financieras vinculadas a casos antiguos de corrupción.";"";"";"";"correo";"2014/12/16";"Manuel Burga renunció anticipadamente a su puesto en FIFA después de controversias financieras vinculadas a casos antiguos de corrupción.. .";"-1";"0.2584";"Unknown"
"Festival gastronómico ofrece degustación gratuita de comida peruana tradicional.";"";"Marcela Quiroz";"Este evento contará con más de 20 stands distribuidos en diferentes puntos estratégicos de la Plaza Mayor, cada stand representará una región distinta del país.";"correo";"2014/12/25";"Festival gastronómico ofrece degustación gratuita de comida peruana tradicional.. . Este evento contará con más de 20 stands distribuidos en diferentes puntos estratégicos de la Plaza Mayor, cada stand representará una región distinta del país.";"-1";"0.3294";"Unknown"
"Cambio válido hasta el 31/12/2014 y/o hasta agotar stock. Información de precios sujetos a variaciones según fluctuaciones del mercado.";"";"";"";"correo";"2014/12/16";"Cambio válido hasta el 31/12/2014 y/o hasta agotar stock. Información de precios sujetos a variaciones según fluctuaciones del mercado.. .";"-1";"0.3322";"Unknown"
"Fusión empresarial formalizada";"TRINY RENTAL S.A.C. absorberá TRANSERVICIOS Y SERVICIOS TRINY S.A.C.";"De conformidad con artículo 355 de la Ley General de Sociedades";"Fusión entre TRINY RENTAL S.A.C. y TRANSPORTES Y SERVICIOS TRINY S.A.C. decidida en junta general de accionistas, efectiva a partir del 1 de enero de 2015.";"correo";"2014/12/10";"Fusión empresarial formalizada. TRINY RENTAL S.A.C. absorberá TRANSERVICIOS Y SERVICIOS TRINY S.A.C.. Fusión entre TRINY RENTAL S.A.C. y TRANSPORTES Y SERVICIOS TRINY S.A.C. decidida en junta general de accionistas, efectiva a partir del 1 de enero de 2015.";"-1";"0.352";"Unknown"
"";"";"";"";"correo";"2014/12/10";". .";"-1";"0.093";"Unknown"
"Peligro en aumento: Incertidumbre económica golpea bolsa peruana";"Indice bajó significativamente";"";"Las acciones experimentaron una notable caída hoy, marcando preocupación entre inversores.";"correo";"2014/12/15";"Peligro en aumento: Incertidumbre económica golpea bolsa peruana. Indice bajó significativamente. Las acciones experimentaron una notable caída hoy, marcando preocupación entre inversores.";"-1";"0.1954";"Unknown"
"";"";"";"";"correo";"2014/12/03";". .";"-1";"0.0922";"Unknown"
"Municipalidad de Lima anula licitación para construcción en Costa Verde";"";"";"Anuncio realizado por la Municipalidad de Lima indica que la licitación para obras en la costa verde ha sido revocada.";"correo";"2014/12/10";"Municipalidad de Lima anula licitación para construcción en Costa Verde. . Anuncio realizado por la Municipalidad de Lima indica que la licitación para obras en la costa verde ha sido revocada.";"0";"0.3576";"reunión, productos, investigación, lossio, economía"
"Grabación de la Serie";"";"";"Hacer una película para consumo nacional no está dentro de mis objetivos ni de la saga. La idea es hacer una película con proyecciones internacionales.";"correo";"2014/12/21";"Grabación de la Serie. . Hacer una película para consumo nacional no está dentro de mis objetivos ni de la saga. La idea es hacer una película con proyecciones internacionales.";"-1";"0.3166";"Unknown"
"Nacional — Madrid juega hoy fuera de casa ante la Juventus por la sexta fecha del Grupo A de la Liga de Champions";"NA";"NA";"El Atlético es el líder con 12 puntos, mientras que el equipo italiano está segundo con 9 unidades. En el otro partido de este grupo, Olympiacos se enfrentará a Malmö.";"correo";"2014/12/09";"Nacional — Madrid juega hoy fuera de casa ante la Juventus por la sexta fecha del Grupo A de la Liga de Champions. El Atlético es el líder con 12 puntos, mientras que el equipo italiano está segundo con 9 unidades. En el otro partido de este grupo, Olympiacos se enfrentará a Malmö.";"1";"0.7346";"equipo, es, lima, real, mejor"
"FIFA Elimina a Manuel Burga Como Presidente";"";"Mario Salgado Columnista";"";"correo";"2014/12/16";"FIFA Elimina a Manuel Burga Como Presidente. .";"-1";"0.2813";"Unknown"
"Dhl Global Forwarding Presentará Informe Financiero";"Junta General de Accionistas convoca reunión";"";"De conformidad con los artículo 115'' y 116'' de la ley N° 26887 Ley General de Sociedades, se llama a los señores accionistas de la sociedad DHL GLOBAL FORWARDING PERÚ SAC, electos para integrar la junta general ordinaria de accionistas que se realizará el viernes 27 de febrero del 2021.";"correo";"2014/12/21";"Dhl Global Forwarding Presentará Informe Financiero. Junta General de Accionistas convoca reunión. De conformidad con los artículo 115'' y 116'' de la ley N° 26887 Ley General de Sociedades, se llama a los señores accionistas de la sociedad DHL GLOBAL FORWARDING PERÚ SAC, electos para integrar la junta general ordinaria de accionistas que se realizará el viernes 27 de febrero del 2021.";"-1";"0.3054";"Unknown"
"Araujo renueva con Alianza Lima";"Alianza Lima";"Correo";"El defensor Miguel Araújo llegó ayer a un acuerdo con la administración de Alianza Lima y portará la blanquiazul hasta junio del 2016. Hace algunas semanas, Araujo había manifestado su deseo de seguir en el equipo íntimo y poder coronarse su revancha, lo cual podría cumplir.";"correo";"2014/12/10";"Araujo renueva con Alianza Lima. Alianza Lima. El defensor Miguel Araújo llegó ayer a un acuerdo con la administración de Alianza Lima y portará la blanquiazul hasta junio del 2016. Hace algunas semanas, Araujo había manifestado su deseo de seguir en el equipo íntimo y poder coronarse su revancha, lo cual podría cumplir.";"1";"0.6559";"equipo, es, lima, real, mejor"
"B7-50 LA MEJOR HERRAMIENTA PARA TU NEGOCIO está a precio especial (USD) 27,990. Tipo de cambio actualizado a Soles 2.85.";"";"";"";"correo";"2014/12/16";"B7-50 LA MEJOR HERRAMIENTA PARA TU NEGOCIO está a precio especial (USD) 27,990. Tipo de cambio actualizado a Soles 2.85.. .";"-1";"0.4425";"Unknown"
"Amplían contrato a servidores de Lima según decisión controvertida.";"";"Patricia Juárez";"Se señala que no comprenden dicho comportamiento, pues se comprometieron a ejecutar acciones específicas en beneficio de la Ciudad de Lima.";"correo";"2014/12/25";"Amplían contrato a servidores de Lima según decisión controvertida.. . Se señala que no comprenden dicho comportamiento, pues se comprometieron a ejecutar acciones específicas en beneficio de la Ciudad de Lima.";"-1";"0.1878";"Unknown"
"Deterioro material en departamentos debido a árbol caído";"";"";"Serios daños materiales al departamento de un edificio en dicha calle, donde se trajo abajo dos paneles de vidrio y parte del cerco eléctrico.";"correo";"2014/12/28";"Deterioro material en departamentos debido a árbol caído. . Serios daños materiales al departamento de un edificio en dicha calle, donde se trajo abajo dos paneles de vidrio y parte del cerco eléctrico.";"-1";"0.2629";"Unknown"
"Fusiones corporativas anunciadas según Ley General de Sociedades";"Según artículo 355...";"";"Se comunica conforme al Artículo 355 de la Ley General de Sociedades, que por junta extraordinarias de accionistas del 31 de julio de 2014, Link Real Trust SA y Master Building SL decidieron fusionarse. La absorción será completa hacia MAESTRAL HEALTH SAC, programándose extinguidas todas las sociedades absorbidas a partir del 15 de diciembre de 2024.";"correo";"2014/12/28";"Fusiones corporativas anunciadas según Ley General de Sociedades. Según artículo 355.... Se comunica conforme al Artículo 355 de la Ley General de Sociedades, que por junta extraordinarias de accionistas del 31 de julio de 2014, Link Real Trust SA y Master Building SL decidieron fusionarse. La absorción será completa hacia MAESTRAL HEALTH SAC, programándose extinguidas todas las sociedades absorbidas a partir del 15 de diciembre de 2024.";"-1";"0.3093";"Unknown"
"Autorización de emergencia contemplada para nueva administración";"Medida permitirá actuación más flexible.";"";"Asesor de la Municipalidad de Lima sugiere que futuros líderes puedan declarar situación de emergencia para intervenir rápidamente en crisis urbanísticas, flexibilizando así restricciones financieras usuales.";"correo";"2014/12/28";"Autorización de emergencia contemplada para nueva administración. Medida permitirá actuación más flexible.. Asesor de la Municipalidad de Lima sugiere que futuros líderes puedan declarar situación de emergencia para intervenir rápidamente en crisis urbanísticas, flexibilizando así restricciones financieras usuales.";"-1";"0.267";"Unknown"
"Domingo 28 de Diciembre de 2014 CHOQUE.";"'Once de Pi zarro enfrenta al de Guerre ro en Ma tuté. ";"Rolandindo está en México, pero sigue sin entrenar ";"Sería despedido en los próxi mos días\nIndisciplina. A pesar de que el delantero brasileño Ron aldihhoo llegó a Méxic o el último viernes, hasta el moment o no se ha inte grado a los tra bajos de pre temporda del club Q ue ratár.o \nEl cuadro azteca empec ó los entra namientos el 7 de dic ie mbre,fecha en la q ue el dela tero era esper ado en la sed e delclub.Pese a los cons tantes llama dos a Brazi l.el jugador no resp ondió el cel ular y tam bién no dio expl icacio nes so bre su ab sen cia a través de las redessocial.s.Etambién trans cidióqueRonaldinhoya se encuent ras en el estad o deQ ue rat á,r.no ha partic ipado de lostraba jos que el equipo real izó ayer en elestadiodetemporada 2013.Ellan tero urugua yoha expresa do que dese a volver a jugarpor la ’’U”en la siguienteten sisión,ahora la direcciónermine a dos jug adoreste que anteriorment evistiero lacamisa crem:aDiegoGuastavi no yAndyPol o.La búsqueda deGustavinose iniciócuandoSporting Cr istal comenzóa negociarpara fichar aldelant ero uruguayo.DiegoGuastavino,lau ntéro deSp ortin gCristal,enlas últimassemanashablóconJoséDelSolar,yexplicóqueesperaconvenceralpresiden teUniver sitaria Jo rg Ve ld aly JoséDe lSol ard ecide rsiempregi raralUr guay,aunque aún nohay nada definitivo.EncasodeAndypollo,tambi énpuede retornaral‘U’,pero elatracertanto tiempo fuera del país,hace difícilsu reincorporación.Según información obtenida por Depor, el volante podría llegar a fines de enero o principios de febrero, dependiendo de cómo avance la situación económica del conjunto íntimo respecto a la transferencia del futbolista colombiano Andrés Escobar, quien también es pretendido por el Atlético Mineiro de Brasil.";"correo";"2014/12/28";"Domingo 28 de Diciembre de 2014 CHOQUE.. 'Once de Pi zarro enfrenta al de Guerre ro en Ma tuté. . Sería despedido en los próxi mos días\nIndisciplina. A pesar de que el delantero brasileño Ron aldihhoo llegó a Méxic o el último viernes, hasta el moment o no se ha inte grado a los tra bajos de pre temporda del club Q ue ratár.o \nEl cuadro azteca empec ó los entra namientos el 7 de dic ie mbre,fecha en la q ue el dela tero era esper ado en la sed e delclub.Pese a los cons tantes llama dos a Brazi l.el jugador no resp ondió el cel ular y tam bién no dio expl icacio nes so bre su ab sen cia a través de las redessocial.s.Etambién trans cidióqueRonaldinhoya se encuent ras en el estad o deQ ue rat á,r.no ha partic ipado de lostraba jos que el equipo real izó ayer en elestadiodetemporada 2013.Ellan tero urugua yoha expresa do que dese a volver a jugarpor la ’’U”en la siguienteten sisión,ahora la direcciónermine a dos jug adoreste que anteriorment evistiero lacamisa crem:aDiegoGuastavi no yAndyPol o.La búsqueda deGustavinose iniciócuandoSporting Cr istal comenzóa negociarpara fichar aldelant ero uruguayo.DiegoGuastavino,lau ntéro deSp ortin gCristal,enlas últimassemanashablóconJoséDelSolar,yexplicóqueesperaconvenceralpresiden teUniver sitaria Jo rg Ve ld aly JoséDe lSol ard ecide rsiempregi raralUr guay,aunque aún nohay nada definitivo.EncasodeAndypollo,tambi énpuede retornaral‘U’,pero elatracertanto tiempo fuera del país,hace difícilsu reincorporación.Según información obtenida por Depor, el volante podría llegar a fines de enero o principios de febrero, dependiendo de cómo avance la situación económica del conjunto íntimo respecto a la transferencia del futbolista colombiano Andrés Escobar, quien también es pretendido por el Atlético Mineiro de Brasil.";"1";"1.0";"equipo, es, lima, real, mejor"
"Hay ofertas concretas para ambos";"Adrián Valderrama será director técnico de Universidad San Martín";"NA";"Refuerzo. Ayer fue presentado como nuevo jugador Edil ‘Cholito’ Sotil llega a Municipal\nDice que luchará por igualar la gloria que alcanzó su padre, el ‘Cholo’ Sotil\nAnte negativa de Forlán de ir a la ‘U’. Guastavino y Polo en la mira\nJosé del Solar espera concretar ambas contrataciones\nPedidos. Ante negati va de Forlán de ir a la ‘U’. Guastavino y Polo en la mira\nJosé del Solar espera concretar ambas contrataciones\nMontes va a delantera de César Vallejo Refuer zo. La directiva de CésarVallejocontrató al delantero Mauricio Montes, que en laprimera temporadadel 2014 jugó porAlianza Lima.Inlacampaña de 2014,Montesjugó32partidos en el cuadrointimo,porguallegóaconotarfincogoles.Elatacatorde32añoseselnuevo refuerzo edil.Montessería el reemplazodelPanameñoLuiseTejadaporquesaliópremiaturamentedeUniversidadSanMartín.Después de la grandecampaña queenunciódespuéssufundición,EdgarBenitezdecidióretirarsecomojugadorprofesiona lyconvertirse endirector técnicoparlarepresentaralconjuntosanmartiniano.Adrian Valderrama sera el DT de USMPor otra parte, el delanteroJuan DiegodGonzálezVigil,fue anunciado como nueva incorporación del equipo edil.Gonzálezvigil,quenocontabiliza minutos en el campo de juego desde octubre del 2014,cuando sufrió una fractura en el tobillo derecho,tiene27 años yprocedee deAlianza Lima.Refuerzos. Además del Cholito,Soti,Mon tes,Gonzalez Vigil yContreras fueron presentados como nuevas figuras del equipo municipal.Dirigiendo al equipo estará el experimentado estratega español Miguel Company,querecientementefirmóuncontratocon'Municipal'hasta finalizada la temporada 2015.Declaraciones. Con relación a su llegada al equipo capitalino,Johan Sotil dijo:'Este es un paso importante en mi carrera profesional.Me emociona formar parte de un proyecto tan bonito como el de'Deportivo Municipal',donde he podido compartir muchas veces con mi padre.'Con respecto a su rendimiento dentro del campo de juego,'Cholito'Sotildespachó:'No tengo palabras para describir lo que significa representar a'un equipo históricocomouno de losgrandesdel Perú.Tengo confianza en mímismo y estoy seguro deque voy a cumplir con las expectativas de todos.'";"correo";"2014/12/28";"Hay ofertas concretas para ambos. Adrián Valderrama será director técnico de Universidad San Martín. Refuerzo. Ayer fue presentado como nuevo jugador Edil ‘Cholito’ Sotil llega a Municipal\nDice que luchará por igualar la gloria que alcanzó su padre, el ‘Cholo’ Sotil\nAnte negativa de Forlán de ir a la ‘U’. Guastavino y Polo en la mira\nJosé del Solar espera concretar ambas contrataciones\nPedidos. Ante negati va de Forlán de ir a la ‘U’. Guastavino y Polo en la mira\nJosé del Solar espera concretar ambas contrataciones\nMontes va a delantera de César Vallejo Refuer zo. La directiva de CésarVallejocontrató al delantero Mauricio Montes, que en laprimera temporadadel 2014 jugó porAlianza Lima.Inlacampaña de 2014,Montesjugó32partidos en el cuadrointimo,porguallegóaconotarfincogoles.Elatacatorde32añoseselnuevo refuerzo edil.Montessería el reemplazodelPanameñoLuiseTejadaporquesaliópremiaturamentedeUniversidadSanMartín.Después de la grandecampaña queenunciódespuéssufundición,EdgarBenitezdecidióretirarsecomojugadorprofesiona lyconvertirse endirector técnicoparlarepresentaralconjuntosanmartiniano.Adrian Valderrama sera el DT de USMPor otra parte, el delanteroJuan DiegodGonzálezVigil,fue anunciado como nueva incorporación del equipo edil.Gonzálezvigil,quenocontabiliza minutos en el campo de juego desde octubre del 2014,cuando sufrió una fractura en el tobillo derecho,tiene27 años yprocedee deAlianza Lima.Refuerzos. Además del Cholito,Soti,Mon tes,Gonzalez Vigil yContreras fueron presentados como nuevas figuras del equipo municipal.Dirigiendo al equipo estará el experimentado estratega español Miguel Company,querecientementefirmóuncontratocon'Municipal'hasta finalizada la temporada 2015.Declaraciones. Con relación a su llegada al equipo capitalino,Johan Sotil dijo:'Este es un paso importante en mi carrera profesional.Me emociona formar parte de un proyecto tan bonito como el de'Deportivo Municipal',donde he podido compartir muchas veces con mi padre.'Con respecto a su rendimiento dentro del campo de juego,'Cholito'Sotildespachó:'No tengo palabras para describir lo que significa representar a'un equipo históricocomouno de losgrandesdel Perú.Tengo confianza en mímismo y estoy seguro deque voy a cumplir con las expectativas de todos.'";"1";"1.0";"equipo, es, lima, real, mejor"
"Para la abundancia";"NA";"NA";"1.- Para la buena provisión, Luna Ayllón sugiere colocar algo nuevo en la cama, ya sean las sábanas, fundas o la pijama.\n2.- A quienes anhelan tener dinero, la psíqui ca Mirtha Vergara recomienda pedir 12 monedas a cualquier OS persona sin importar la denomiación. ‘Ala 12 suba una escalera lanzando una moneda por peldaño repitiendo: '1 millón, 2 millones... hasta cul minar con los doce millones'.\n3.- Una forma más simple de atraer el dinero es recibir el año nuevo con varios billetes en la mano.";"correo";"2014/12/28";"Para la abundancia. 1.- Para la buena provisión, Luna Ayllón sugiere colocar algo nuevo en la cama, ya sean las sábanas, fundas o la pijama.\n2.- A quienes anhelan tener dinero, la psíqui ca Mirtha Vergara recomienda pedir 12 monedas a cualquier OS persona sin importar la denomiación. ‘Ala 12 suba una escalera lanzando una moneda por peldaño repitiendo: '1 millón, 2 millones... hasta cul minar con los doce millones'.\n3.- Una forma más simple de atraer el dinero es recibir el año nuevo con varios billetes en la mano.";"-1";"0.2902";"Unknown"
"Educación pública ajustará designaciones curriculares";"MinEducación elimina término controversiales.";"";"Nuevo decreto ministerial prohíbe referirse a centros educativos públicos y privados como ‘pre-universitarios’, buscando uniformidad y claridad en comunicaciones escolares.";"correo";"2014/12/28";"Educación pública ajustará designaciones curriculares. MinEducación elimina término controversiales.. Nuevo decreto ministerial prohíbe referirse a centros educativos públicos y privados como ‘pre-universitarios’, buscando uniformidad y claridad en comunicaciones escolares.";"-1";"0.1632";"Unknown"
"Ataque violento deja saldo mortal en STPS";"Chofer y cobrador víctima fatal.";"";"Trágicamente, José Romero Rodríguez y Marisol Aponte Pérez perdieron la vida en medio de un robo perpetrado en el trayecto habitual de la empresa EMOS. Arrestan a sospechosos relacionados sentimentalmente con las víctimas.";"correo";"2014/12/28";"Ataque violento deja saldo mortal en STPS. Chofer y cobrador víctima fatal.. Trágicamente, José Romero Rodríguez y Marisol Aponte Pérez perdieron la vida en medio de un robo perpetrado en el trayecto habitual de la empresa EMOS. Arrestan a sospechosos relacionados sentimentalmente con las víctimas.";"-1";"0.1848";"Unknown"
